id_item,id_pedido,id_produto,quantidade,valor_unitario
1,1,88,2,670.67
2,1,36,2,1938.42
3,1,47,4,1318.74
4,1,92,3,825.86
5,2,3,5,1254.77
6,2,5,1,487.33
7,2,89,2,1749.64
8,3,71,4,686.35
9,3,40,3,829.17
10,3,88,1,670.67
11,4,57,4,628.39
12,4,2,4,1895.7
13,5,39,1,1716.89
14,5,97,2,766.22
15,5,39,2,1716.89
16,6,57,3,628.39
17,6,99,4,1746.04
18,7,36,1,1938.42
19,8,61,4,1298.94
20,8,43,4,83.03
21,8,13,2,1325.75
22,8,90,3,208.43
23,9,46,4,1731.17
24,10,59,1,457.15
25,10,98,1,1257.33
26,10,83,2,96.86
27,11,83,2,96.86
28,11,1,4,129.86
29,11,26,3,1471.72
30,11,41,5,583.55
31,12,15,2,457.37
32,13,67,2,773.34
33,13,77,4,1081.78
34,14,58,4,1108.98
35,14,95,2,1303.17
36,14,34,2,1993.92
37,15,37,2,702.44
38,15,11,4,151.65
39,15,48,2,929.33
40,16,49,5,383.29
41,16,29,1,1178.37
42,16,3,5,1254.77
43,16,83,5,96.86
44,17,12,4,1848.58
45,17,26,3,1471.72
46,18,7,4,822.95
47,18,80,4,1740.51
48,19,20,1,1843.17
49,19,48,2,929.33
50,19,73,1,572.85
51,20,92,5,825.86
52,21,99,4,1746.04
53,21,87,4,261.23
54,21,16,2,1817.74
55,21,92,2,825.86
56,22,35,3,1273.22
57,22,96,4,1706.16
58,23,17,4,152.11
59,23,27,5,508.23
60,23,28,3,465.56
61,23,94,2,683.74
62,24,24,4,881.14
63,24,19,1,1500.43
64,24,38,3,648.91
65,24,31,5,1156.73
66,25,32,3,946.3
67,25,75,4,1997.82
68,25,11,1,151.65
69,25,61,2,1298.94
70,26,89,4,1749.64
71,26,88,2,670.67
72,26,92,4,825.86
73,27,95,5,1303.17
74,27,33,1,1832.98
75,27,13,5,1325.75
76,27,8,1,945.13
77,28,31,4,1156.73
78,28,46,5,1731.17
79,28,86,5,995.7
80,29,1,3,129.86
81,30,39,4,1716.89
82,30,86,3,995.7
83,30,17,5,152.11
84,30,6,5,159.38
85,31,34,2,1993.92
86,31,65,4,1960.69
87,32,60,2,928.28
88,32,12,3,1848.58
89,32,91,5,40.54
90,33,19,3,1500.43
91,33,15,3,457.37
92,33,6,2,159.38
93,33,64,3,836.83
94,34,56,3,1600.63
95,34,34,5,1993.92
96,34,98,3,1257.33
97,35,56,2,1600.63
98,35,41,4,583.55
99,35,98,2,1257.33
100,36,7,2,822.95
