id_pedido,id_cliente,data_pedido,forma_pagamento,status
1,324,2025-08-29,Boleto,Cancelado
2,383,2025-08-21,Pix,Cancelado
3,390,2025-04-11,Boleto,Em Transporte
4,228,2025-04-13,Pix,Em Transporte
5,463,2025-11-03,Pix,Entregue
6,408,2025-11-29,Pix,Cancelado
7,192,2026-01-03,Cartão,Entregue
8,272,2025-09-08,Cartão,Em Transporte
9,88,2025-07-04,Pix,Entregue
10,318,2026-01-27,Boleto,Entregue
11,468,2026-05-25,Boleto,Entregue
12,237,2025-08-26,Boleto,Cancelado
13,131,2026-04-16,Boleto,Entregue
14,462,2026-04-22,Cartão,Em Transporte
15,38,2025-06-11,Cartão,Cancelado
16,328,2025-11-03,Cartão,Em Transporte
17,234,2025-09-14,Cartão,Entregue
18,437,2026-01-29,Cartão,Entregue
19,196,2025-08-31,Boleto,Cancelado
20,359,2025-10-30,Cartão,Entregue
21,141,2026-02-10,Pix,Em Transporte
22,467,2025-02-20,Boleto,Em Transporte
23,427,2026-05-24,Cartão,Entregue
24,113,2025-12-27,Boleto,Entregue
25,348,2025-09-14,Boleto,Em Transporte
26,322,2025-05-21,Pix,Em Transporte
27,159,2025-02-10,Cartão,Entregue
28,375,2026-01-09,Pix,Entregue
29,168,2025-10-30,Boleto,Cancelado
30,103,2025-06-29,Pix,Em Transporte
31,272,2026-01-10,Boleto,Cancelado
32,132,2025-06-18,Cartão,Cancelado
33,412,2025-12-13,Pix,Cancelado
34,73,2025-03-19,Pix,Em Transporte
35,496,2026-02-11,Boleto,Cancelado
36,405,2025-04-03,Cartão,Entregue
37,275,2025-09-28,Pix,Cancelado
38,345,2026-01-13,Boleto,Em Transporte
39,300,2025-09-26,Cartão,Em Transporte
40,56,2026-01-16,Boleto,Entregue
41,13,2026-04-28,Boleto,Em Transporte
42,469,2025-12-02,Boleto,Entregue
43,326,2025-03-06,Cartão,Em Transporte
44,333,2025-11-06,Cartão,Entregue
45,24,2025-05-24,Pix,Cancelado
46,60,2026-05-20,Pix,Entregue
47,199,2025-05-19,Cartão,Cancelado
48,301,2026-03-06,Boleto,Em Transporte
49,454,2025-06-08,Cartão,Em Transporte
50,427,2025-04-12,Cartão,Em Transporte
51,481,2026-02-22,Cartão,Entregue
52,112,2026-01-15,Cartão,Cancelado
53,438,2025-08-30,Cartão,Entregue
54,279,2026-01-12,Boleto,Cancelado
55,204,2025-03-04,Cartão,Entregue
56,486,2025-05-06,Cartão,Entregue
57,329,2025-08-06,Boleto,Em Transporte
58,26,2025-01-22,Cartão,Entregue
59,403,2025-05-09,Boleto,Entregue
60,425,2025-03-12,Boleto,Entregue
61,417,2025-08-10,Pix,Cancelado
62,404,2025-06-01,Boleto,Entregue
63,440,2025-10-11,Pix,Entregue
64,409,2025-09-14,Pix,Entregue
65,68,2025-01-27,Pix,Cancelado
66,302,2025-09-01,Cartão,Entregue
67,136,2025-06-28,Pix,Entregue
68,270,2026-03-08,Pix,Em Transporte
69,244,2025-03-07,Cartão,Cancelado
70,304,2026-06-10,Pix,Cancelado
71,114,2026-05-31,Boleto,Entregue
72,155,2026-06-18,Cartão,Em Transporte
73,32,2025-02-01,Cartão,Cancelado
74,352,2026-03-13,Pix,Cancelado
75,38,2026-03-31,Pix,Cancelado
76,34,2025-06-01,Pix,Cancelado
77,196,2025-11-29,Boleto,Em Transporte
78,233,2025-10-29,Boleto,Em Transporte
79,51,2026-03-17,Boleto,Entregue
80,221,2025-08-09,Cartão,Entregue
81,174,2026-02-28,Cartão,Cancelado
82,374,2026-03-02,Pix,Cancelado
83,161,2026-03-14,Boleto,Cancelado
84,489,2026-01-19,Pix,Em Transporte
85,35,2026-05-01,Pix,Entregue
86,222,2025-04-06,Pix,Em Transporte
87,416,2026-01-17,Pix,Em Transporte
88,301,2025-03-03,Boleto,Em Transporte
89,344,2025-12-04,Pix,Cancelado
90,448,2025-12-29,Boleto,Cancelado
91,496,2025-02-22,Cartão,Em Transporte
92,181,2025-11-16,Pix,Em Transporte
93,109,2026-06-04,Pix,Em Transporte
94,115,2026-05-09,Pix,Cancelado
95,59,2026-01-12,Cartão,Em Transporte
96,414,2025-08-20,Cartão,Em Transporte
97,312,2025-01-27,Boleto,Em Transporte
98,15,2025-10-01,Pix,Cancelado
99,472,2025-11-13,Cartão,Cancelado
100,93,2025-01-07,Pix,Em Transporte
101,36,2026-02-15,Pix,Em Transporte
102,47,2025-02-01,Boleto,Em Transporte
103,193,2025-08-09,Cartão,Cancelado
104,81,2025-12-16,Cartão,Cancelado
105,398,2025-11-29,Boleto,Em Transporte
106,453,2025-03-28,Pix,Entregue
107,387,2025-06-11,Boleto,Entregue
108,140,2025-03-25,Cartão,Em Transporte
109,249,2026-03-11,Boleto,Cancelado
110,140,2026-03-01,Pix,Em Transporte
111,177,2025-04-27,Cartão,Entregue
112,348,2025-10-18,Boleto,Em Transporte
113,270,2026-05-14,Boleto,Cancelado
114,113,2025-02-16,Cartão,Em Transporte
115,4,2025-02-26,Pix,Cancelado
116,393,2025-08-05,Pix,Cancelado
117,168,2025-10-24,Pix,Entregue
118,383,2026-05-25,Cartão,Entregue
119,195,2025-05-13,Boleto,Em Transporte
120,257,2025-08-24,Boleto,Em Transporte
121,37,2025-12-29,Cartão,Em Transporte
122,224,2025-02-13,Pix,Cancelado
123,442,2025-03-21,Cartão,Em Transporte
124,294,2026-03-16,Cartão,Em Transporte
125,149,2026-03-04,Pix,Cancelado
126,495,2025-01-22,Cartão,Entregue
127,426,2026-04-17,Boleto,Cancelado
128,224,2025-04-01,Pix,Entregue
129,302,2026-03-23,Cartão,Em Transporte
130,203,2025-03-22,Cartão,Em Transporte
131,114,2025-12-14,Cartão,Entregue
132,262,2025-03-20,Boleto,Entregue
133,100,2026-06-07,Cartão,Cancelado
134,121,2025-06-01,Pix,Entregue
135,102,2025-09-20,Pix,Em Transporte
136,390,2025-06-06,Boleto,Entregue
137,488,2025-07-01,Boleto,Cancelado
