id_produto,produto,categoria,preco
1,Produto 1,Beleza,129.86
2,Produto 2,Eletrônicos,1895.7
3,Produto 3,Informática,1254.77
4,Produto 4,Livros,1324.25
5,Produto 5,Informática,487.33
6,Produto 6,Beleza,159.38
7,Produto 7,Eletrônicos,822.95
8,Produto 8,Beleza,945.13
9,Produto 9,Eletrônicos,470.64
10,Produto 10,Livros,1408.95
11,Produto 11,Esportes,151.65
12,Produto 12,Informática,1848.58
13,Produto 13,Beleza,1325.75
14,Produto 14,Informática,856.03
15,Produto 15,Beleza,457.37
16,Produto 16,Informática,1817.74
17,Produto 17,Informática,152.11
18,Produto 18,Informática,1587.33
19,Produto 19,Beleza,1500.43
20,Produto 20,Beleza,1843.17
21,Produto 21,Esportes,257.46
22,Produto 22,Livros,1402.47
23,Produto 23,Livros,1005.94
24,Produto 24,Esportes,881.14
25,Produto 25,Beleza,89.32
26,Produto 26,Esportes,1471.72
27,Produto 27,Beleza,508.23
28,Produto 28,Eletrônicos,465.56
29,Produto 29,Beleza,1178.37
30,Produto 30,Eletrônicos,1999.15
31,Produto 31,Livros,1156.73
32,Produto 32,Informática,946.3
33,Produto 33,Esportes,1832.98
34,Produto 34,Informática,1993.92
35,Produto 35,Esportes,1273.22
36,Produto 36,Esportes,1938.42
37,Produto 37,Esportes,702.44
38,Produto 38,Livros,648.91
39,Produto 39,Eletrônicos,1716.89
40,Produto 40,Livros,829.17
41,Produto 41,Esportes,583.55
42,Produto 42,Esportes,1629.0
43,Produto 43,Beleza,83.03
44,Produto 44,Eletrônicos,635.89
45,Produto 45,Livros,240.68
46,Produto 46,Esportes,1731.17
47,Produto 47,Eletrônicos,1318.74
48,Produto 48,Beleza,929.33
49,Produto 49,Eletrônicos,383.29
50,Produto 50,Livros,1249.04
51,Produto 51,Esportes,1254.56
52,Produto 52,Eletrônicos,415.08
53,Produto 53,Beleza,270.72
54,Produto 54,Livros,881.85
55,Produto 55,Esportes,251.64
56,Produto 56,Beleza,1600.63
57,Produto 57,Informática,628.39
58,Produto 58,Eletrônicos,1108.98
59,Produto 59,Eletrônicos,457.15
60,Produto 60,Eletrônicos,928.28
61,Produto 61,Eletrônicos,1298.94
62,Produto 62,Informática,1001.77
63,Produto 63,Livros,1022.66
64,Produto 64,Livros,836.83
65,Produto 65,Esportes,1960.69
66,Produto 66,Informática,919.01
67,Produto 67,Informática,773.34
68,Produto 68,Beleza,1021.4
69,Produto 69,Informática,1729.41
70,Produto 70,Livros,1547.62
71,Produto 71,Esportes,686.35
72,Produto 72,Beleza,541.67
73,Produto 73,Eletrônicos,572.85
74,Produto 74,Livros,1676.58
75,Produto 75,Beleza,1997.82
76,Produto 76,Esportes,1731.87
77,Produto 77,Esportes,1081.78
78,Produto 78,Livros,671.56
79,Produto 79,Beleza,760.65
80,Produto 80,Livros,1740.51
81,Produto 81,Informática,1147.88
82,Produto 82,Informática,1713.47
83,Produto 83,Esportes,96.86
84,Produto 84,Esportes,1413.4
85,Produto 85,Esportes,778.3
86,Produto 86,Informática,995.7
87,Produto 87,Eletrônicos,261.23
88,Produto 88,Beleza,670.67
89,Produto 89,Eletrônicos,1749.64
90,Produto 90,Esportes,208.43
91,Produto 91,Esportes,40.54
92,Produto 92,Informática,825.86
93,Produto 93,Informática,158.91
94,Produto 94,Livros,683.74
95,Produto 95,Esportes,1303.17
96,Produto 96,Livros,1706.16
97,Produto 97,Beleza,766.22
98,Produto 98,Livros,1257.33
99,Produto 99,Esportes,1746.04
100,Produto 100,Eletrônicos,1238.74
